stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station
34_01,,高屋東,,34.673589,133.967611142857,34_01,https://www.unobus.co.jp/bustei/34#34_01,0,,
34_05,,高屋東,,34.673492,133.967572,34_05,https://www.unobus.co.jp/bustei/34#34_05,0,,
36_01,,兼基西,,34.673727,133.970319857143,36_01,https://www.unobus.co.jp/bustei/36#36_01,0,,
36_05,,兼基西,,34.6736,133.97008,36_05,https://www.unobus.co.jp/bustei/36#36_05,0,,
38_01,,兼基,,34.674553,133.974215571429,38_01,https://www.unobus.co.jp/bustei/38#38_01,0,,
38_05,,兼基,,34.674193,133.973623,38_05,https://www.unobus.co.jp/bustei/38#38_05,0,,
40_01,,兼基東,,34.675549,133.976768142857,40_01,https://www.unobus.co.jp/bustei/40#40_01,0,,
40_05,,兼基東,,34.675111,133.975924,40_05,https://www.unobus.co.jp/bustei/40#40_05,0,,
42_01,,乙多見西,,34.676726,133.979705285714,42_01,https://www.unobus.co.jp/bustei/42#42_01,0,,
42_05,,乙多見西,,34.676315,133.979041,42_05,https://www.unobus.co.jp/bustei/42#42_05,0,,
44_01,,乙多見,,34.677817,133.982549,44_01,https://www.unobus.co.jp/bustei/44#44_01,0,,
44_05,,乙多見,,34.677361,133.981694,44_05,https://www.unobus.co.jp/bustei/44#44_05,0,,
46_01,,長岡団地,,34.678726,133.984795,46_01,https://www.unobus.co.jp/bustei/46#46_01,0,,
46_05,,長岡団地,,34.678351,133.984256,46_05,https://www.unobus.co.jp/bustei/46#46_05,0,,
46_09,,長岡団地,,34.6788094273066,133.984884801883,46_09,https://www.unobus.co.jp/bustei/46#46_09,0,,
48_01,,長岡西,,34.680016,133.988071571429,48_01,https://www.unobus.co.jp/bustei/48#48_01,0,,
48_05,,長岡西,,34.679668,133.987421,48_05,https://www.unobus.co.jp/bustei/48#48_05,0,,
50_01,,長岡,,34.681605,133.991009857143,50_01,https://www.unobus.co.jp/bustei/50#50_01,0,,
50_05,,長岡,,34.680757,133.989769,50_05,https://www.unobus.co.jp/bustei/50#50_05,0,,
52_05,,ワールド前,,34.681656,133.991309,52_05,https://www.unobus.co.jp/bustei/52#52_05,0,,
54_01,,宍甘,,34.684046,133.995097,54_01,https://www.unobus.co.jp/bustei/54#54_01,0,,
54_05,,宍甘,,34.683914,133.995131,54_05,https://www.unobus.co.jp/bustei/54#54_05,0,,
56_01,,宿,,34.687076,134.000316,56_01,https://www.unobus.co.jp/bustei/56#56_01,0,,
56_05,,宿,,34.686249,133.999082,56_05,https://www.unobus.co.jp/bustei/56#56_05,0,,
58_01,,積水前,,34.68923,134.003975,58_01,https://www.unobus.co.jp/bustei/58#58_01,0,,
58_05,,積水前,,34.687625,134.001427,58_05,https://www.unobus.co.jp/bustei/58#58_05,0,,
60_05,,三石深井鉄工所前,,34.688998,134.003706142857,60_05,https://www.unobus.co.jp/bustei/60#60_05,0,,
62_01,,藤井,,34.690801,134.006656,62_01,https://www.unobus.co.jp/bustei/62#62_01,0,,
62_05,,藤井,,34.69061,134.006448571429,62_05,https://www.unobus.co.jp/bustei/62#62_05,0,,
64_01,,鉄,,34.69354,134.011327,64_01,https://www.unobus.co.jp/bustei/64#64_01,0,,
64_05,,鉄,,34.693388,134.011257,64_05,https://www.unobus.co.jp/bustei/64#64_05,0,,
66_01,,北方,,34.696752,134.01678,66_01,https://www.unobus.co.jp/bustei/66#66_01,0,,
66_05,,北方,,34.696655,134.016791,66_05,https://www.unobus.co.jp/bustei/66#66_05,0,,
68_01,,中尾,,34.699237,134.021662142857,68_01,https://www.unobus.co.jp/bustei/68#68_01,0,,
68_05,,中尾,,34.69927,134.022042,68_05,https://www.unobus.co.jp/bustei/68#68_05,0,,
70_01,,沼西,,34.700525,134.025416,70_01,https://www.unobus.co.jp/bustei/70#70_01,0,,
